Unnamed: 0,PRI,OT MAQUINA,PRODUCTO ETAPA,Unnamed: 4,OT,PRODUCTO,MAQUINA PRE,ESTAPA PRENSA,PROCESO,N° ETAPA,CANTIDAD,STD,SALDO,MAQUINA ASIG,Unnamed: 15,Unnamed: 16,Unnamed: 17
24,,39250FAMAE - 02,"Espiga 3/4x126x274 caps.1"" PoliamidaREBABAR",12.0,39250.0,"Espiga 3/4x126x274 caps.1"" Poliamida",FAMAE - 02,REBABARFAMAE - 02,REBABAR,2.0,7500.0,250.0,7500,,0,F,F12
25,,39250PUNT 2 CAB,"Espiga 3/4x126x274 caps.1"" PoliamidaREBAJAR",13.0,39250.0,"Espiga 3/4x126x274 caps.1"" Poliamida",PUNT 2 CAB,REBAJARPUNT 2 CAB,REBAJAR,3.0,7500.0,150.0,7500,,0,F,F13
26,,39250PRENSA FR - 11,"Espiga 3/4x126x274 caps.1"" PoliamidaESTRIAR",14.0,39250.0,"Espiga 3/4x126x274 caps.1"" Poliamida",PRENSA FR - 11,ESTRIARPRENSA FR - 11,ESTRIAR,4.0,7500.0,230.0,7500,,0,F,F14
27,,39250PUNT PER,"Espiga 3/4x126x274 caps.1"" PoliamidaPUNTEAR",15.0,39250.0,"Espiga 3/4x126x274 caps.1"" Poliamida",PUNT PER,PUNTEARPUNT PER,PUNTEAR,5.0,7500.0,140.0,7500,,0,F,F15
28,,39250TERR PER - 05,"Espiga 3/4x126x274 caps.1"" PoliamidaTERRAJAR",16.0,39250.0,"Espiga 3/4x126x274 caps.1"" Poliamida",TERR PER - 05,TERRAJARTERR PER - 05,TERRAJAR,6.0,7500.0,120.0,7500,,T,F,F16
29,1.0,38998PRENSA FR - 10,Eslabón Angular Estampado perf.18ESTAMPAR,11.0,38998.0,Eslabón Angular Estampado perf.18,PRENSA FR - 10,ESTAMPARPRENSA FR - 10,ESTAMPAR,1.0,3050.0,38.0,3050,,0,H,H11
30,,38998PRENSA EX - 11,Eslabón Angular Estampado perf.18REBABAR,12.0,38998.0,Eslabón Angular Estampado perf.18,PRENSA EX - 11,REBABARPRENSA EX - 11,REBABAR,2.0,3050.0,170.0,3050,,0,H,H12
31,,38998PRENSA EX - 15,Eslabón Angular Estampado perf.18PERFORAR18,13.0,38998.0,Eslabón Angular Estampado perf.18,PRENSA EX - 15,PERFORAR18PRENSA EX - 15,PERFORAR18,3.0,3050.0,160.0,3050,,0,H,H13
32,,38998PRENSA EX - 15,Eslabón Angular Estampado perf.18PERF OVALADA,14.0,38998.0,Eslabón Angular Estampado perf.18,PRENSA EX - 15,PERF OVALADAPRENSA EX - 15,PERF OVALADA,4.0,3050.0,160.0,3050,,0,H,H14
33,,38998PRENSA FR - 04,Eslabón Angular Estampado perf.18DOBLAR,15.0,38998.0,Eslabón Angular Estampado perf.18,PRENSA FR - 04,DOBLARPRENSA FR - 04,DOBLAR,5.0,3050.0,383.0,3050,,T,H,H15
34,1.0,37877PRENSA FR - 12,Perno Cuello Ret 5/8x45ESTAMPAR,11.0,37877.0,Perno Cuello Ret 5/8x45,PRENSA FR - 12,ESTAMPARPRENSA FR - 12,ESTAMPAR,1.0,12900.0,334.0,12900,,0,J,J11
35,,37877FAMAE - 02,Perno Cuello Ret 5/8x45REBABAR,12.0,37877.0,Perno Cuello Ret 5/8x45,FAMAE - 02,REBABARFAMAE - 02,REBABAR,2.0,12900.0,500.0,12900,,0,J,J12
36,,37877LAMIN ZURZOLO,Perno Cuello Ret 5/8x45LAMINAR,13.0,37877.0,Perno Cuello Ret 5/8x45,LAMIN ZURZOLO,LAMINARLAMIN ZURZOLO,LAMINAR,3.0,12900.0,450.0,12900,,0,J,J13
37,,37877TERR PER - 04,Perno Cuello Ret 5/8x45REPASAR,14.0,37877.0,Perno Cuello Ret 5/8x45,TERR PER - 04,REPASARTERR PER - 04,REPASAR,4.0,12900.0,223.0,12900,,T,J,J14
38,,,,,,,,,,,,,0,,,,
39,,,,,,,,,,,,,0,,,,
40,,,,,,,,,,,,,0,,,,
41,,,,,,,,,,,,,0,,,,
42,,,,,,,,,,,,,0,,,,
43,,,,,,,,,,,,,0,,,,
44,,,,,,,,,,,,,0,,,,
