Unnamed: 0,PRODUCTO,OT REFERENCIA,CODIGO,PESO,MATERIA PRIMA,PROCESO FINAL,PESO ARMADO ,FAMILIA,MAQUINA,ETAPA,STD,N° ETAPA
Perno Ojo 5/8x12x5H,Perno Ojo 5/8x12x5H,38379.0,9624000142-7,0.734,,,0.734,PERNOS OJO GV C,PRENSA FR - 01,,,
Perno Ojo 5/8x12x9H,Perno Ojo 5/8x12x9H,35843.0,9624000145-1,0.683,,,0.683,PERNOS OJO GV C,PRENSA FR - 01,,,
Perno Ojo 5/8x13x3H,Perno Ojo 5/8x13x3H,35193.0,9624000180-K,0.768,1020 5/8,,0.768,PERNOS OJO GV C,PRENSA FR - 01,,,
Perno Ojo 5/8x14x9H,Perno Ojo 5/8x14x9H,35971.0,9623000148-8,1.055,,,1.055,PERNOS OJO GV C,PRENSA FR - 01,,,
Perno Ojo 5/8x14x11H,Perno Ojo 5/8x14x11H,35845.0,9624000190-7,0.778,,,0.778,PERNOS OJO GV C,PRENSA FR - 01,,,
Perno Ojo 5/8x15x12HESTAMPAR,Perno Ojo 5/8x15x12H,34818.0,9624000160-5,0.777,,,0.777,PERNOS OJO GV C,PRENSA FR - 01,ESTAMPAR,41.0,
Perno Ojo 5/8x406x187mmESTAMPAR,Perno Ojo 5/8x406x187mm,37779.0,9624000168-0,0.844,,,0.844,PERNOS OJO GV C,PRENSA FR - 01,ESTAMPAR,43.0,
Perno Ojo 5/8x17x14HESTAMPAR,Perno Ojo 5/8x17x14H,35012.0,9624000200-8,0.822,1020 5/8,652,0.822,PERNOS OJO GV C,PRENSA FR - 01,ESTAMPAR,41.0,
Perno Ojo 5/8x229ESTAMPAR,Perno Ojo 5/8x229,34871.0,9624000010-2,0.579,,,0.579,PERNOS OJO GV C,PRENSA FR - 01,ESTAMPAR,43.0,
Perno Ojo 5/8x7x3HESTAMPAR,Perno Ojo 5/8x7x3H,34514.0,9624000110-9,0.533,,,0.533,PERNOS OJO GV C,PRENSA FR - 01,ESTAMPAR,43.0,
Perno Ojo 5/8x8x4HESTAMPAR,Perno Ojo 5/8x8x4H,35269.0,9624000115-K,0.536,,,0.536,PERNOS OJO GV C,PRENSA FR - 01,ESTAMPAR,43.0,
Perno Ojo 5/8x9x3HESTAMPAR,Perno Ojo 5/8x9x3H,34661.0,9624000015-3,0.604,,,0.604,PERNOS OJO GV C,PRENSA FR - 01,ESTAMPAR,43.0,
Perno Ojo 5/8x9x5HESTAMPAR,Perno Ojo 5/8x9x5H,35001.0,9624000016-1,0.587,,,0.587,PERNOS OJO GV C,PRENSA FR - 01,ESTAMPAR,43.0,1.0
